timestamp,city,aqi,wind_speed,humidity
2025-03-22 13:01:56.027816+0700,Hà Nội,157,11.4 km/h,37%
2025-03-22 14:01:41.582645+0700,Hà Nội,156,11.9 km/h,35%
2025-03-22 15:01:34.596619+0700,Hà Nội,151,11.7 km/h,34%
2025-03-22 16:01:51.932950+0700,Hà Nội,153,13.0 km/h,34%
2025-03-22 17:01:37.472823+0700,Hà Nội,160,15.8 km/h,36%
2025-03-22 18:01:42.445162+0700,Hà Nội,165,18.5 km/h,40%
2025-03-22 19:01:39.317068+0700,Hà Nội,159,21.2 km/h,50%
2025-03-22 20:04:36.952034+0700,Hà Nội,153,18.3 km/h,62%
2025-03-22 21:01:49.689521+0700,Hà Nội,158,18.3 km/h,62%
2025-03-22 22:01:26.509685+0700,Hà Nội,161,15.9 km/h,65%
2025-03-22 23:01:31.806097+0700,Hà Nội,171,14.5 km/h,68%
2025-03-23 00:01:23.987738+0700,Hà Nội,166,14.5 km/h,70%
2025-03-23 01:01:37.599675+0700,Hà Nội,168,15.4 km/h,72%
2025-03-23 02:01:27.364913+0700,Hà Nội,177,15.4 km/h,74%
2025-03-23 03:01:40.714098+0700,Hà Nội,176,12.4 km/h,75%
2025-03-23 04:01:24.714723+0700,Hà Nội,177,10.8 km/h,79%
2025-03-23 05:01:40.792701+0700,Hà Nội,175,9.3 km/h,81%
2025-03-23 06:01:34.138993+0700,Hà Nội,175,9.2 km/h,83%
2025-03-23 07:04:37.811532+0700,Hà Nội,183,9.8 km/h,81%
2025-03-23 08:28:57.626591+0700,Hà Nội,182,11.3 km/h,73%
2025-03-23 09:29:11.032029+0700,Hà Nội,180,12.6 km/h,66%
2025-03-23 10:14:38.191817+0700,Hà Nội,185,14.5 km/h,59%
2025-03-23 11:01:42.498027+0700,Hà Nội,187,14.5 km/h,59%
2025-03-23 12:01:32.626276+0700,Hà Nội,182,14.5 km/h,52%
2025-03-23 13:01:35.612678+0700,Hà Nội,179,14.3 km/h,48%
2025-03-23 14:01:34.451994+0700,Hà Nội,174,13.7 km/h,44%
2025-03-23 15:01:54.724319+0700,Hà Nội,163,13.0 km/h,42%
2025-03-23 16:01:29.148224+0700,Hà Nội,164,14.3 km/h,41%
2025-03-23 17:01:25.547850+0700,Hà Nội,165,17.1 km/h,42%
2025-03-23 18:01:44.714620+0700,Hà Nội,159,22.2 km/h,45%
2025-03-23 19:01:49.176013+0700,Hà Nội,157,24.3 km/h,52%
2025-03-23 20:04:46.783296+0700,Hà Nội,158,22.2 km/h,65%
2025-03-23 21:01:25.403851+0700,Hà Nội,158,22.2 km/h,65%
2025-03-23 22:01:25.377143+0700,Hà Nội,156,20.1 km/h,70%
2025-03-23 23:01:27.842250+0700,Hà Nội,157,19.3 km/h,73%
2025-03-24 01:02:11.113370+0700,Hà Nội,156,12.6 km/h,80%
2025-03-24 02:01:35.619918+0700,Hà Nội,159,11.6 km/h,82%
2025-03-24 03:01:41.697165+0700,Hà Nội,161,10.3 km/h,83%
2025-03-24 04:01:28.888997+0700,Hà Nội,173,8.5 km/h,84%
2025-03-24 05:01:32.434270+0700,Hà Nội,177,6.6 km/h,86%
2025-03-24 06:01:35.943640+0700,Hà Nội,181,5.8 km/h,87%
2025-03-24 07:04:30.473999+0700,Hà Nội,188,5.3 km/h,87%
2025-03-24 08:29:07.667618+0700,Hà Nội,189,6.4 km/h,73%
2025-03-24 09:28:49.351163+0700,Hà Nội,194,8.9 km/h,63%
2025-03-24 10:15:01.796805+0700,Hà Nội,186,8.9 km/h,63%
2025-03-24 11:01:44.364167+0700,Hà Nội,186,8.0 km/h,54%
2025-03-24 12:01:39.486368+0700,Hà Nội,185,7.6 km/h,47%
2025-03-24 13:01:49.534238+0700,Hà Nội,174,8.5 km/h,43%
2025-03-24 14:01:38.899050+0700,Hà Nội,170,10.3 km/h,40%
2025-03-24 15:01:57.614783+0700,Hà Nội,183,10.5 km/h,39%
2025-03-24 16:01:53.648497+0700,Hà Nội,180,10.5 km/h,39%
2025-03-24 17:01:44.652521+0700,Hà Nội,172,14.0 km/h,39%
2025-03-24 18:01:49.916191+0700,Hà Nội,163,19.3 km/h,43%
2025-03-24 19:01:54.094095+0700,Hà Nội,169,23.5 km/h,55%
2025-03-24 20:08:18.954536+0700,Hà Nội,173,21.4 km/h,64%
2025-03-24 21:01:41.312173+0700,Hà Nội,181,21.4 km/h,64%
2025-03-24 22:01:44.996862+0700,Hà Nội,172,21.7 km/h,71%
2025-03-24 23:02:02.996536+0700,Hà Nội,174,21.1 km/h,75%
2025-03-25 00:01:44.199549+0700,Hà Nội,166,20.1 km/h,79%
2025-03-25 01:01:57.486811+0700,Hà Nội,162,17.4 km/h,81%
2025-03-25 02:01:34.293173+0700,Hà Nội,159,15.8 km/h,84%
2025-03-25 03:01:39.638917+0700,Hà Nội,156,12.1 km/h,84%
2025-03-25 04:01:34.614344+0700,Hà Nội,154,10.8 km/h,87%
2025-03-25 05:01:33.591567+0700,Hà Nội,155,9.2 km/h,89%
2025-03-25 06:01:27.380973+0700,Hà Nội,156,8.9 km/h,91%
2025-03-25 07:04:35.093393+0700,Hà Nội,157,9.3 km/h,92%
2025-03-25 08:28:46.905601+0700,Hà Nội,166,11.3 km/h,72%
2025-03-25 09:27:55.976747+0700,Hà Nội,176,11.3 km/h,72%
2025-03-25 10:12:51.518121+0700,Hà Nội,183,11.3 km/h,72%
2025-03-25 11:01:38.532361+0700,Hà Nội,184,10.0 km/h,54%
2025-03-25 12:01:39.974907+0700,Hà Nội,195,10.0 km/h,48%
2025-03-25 13:02:00.620400+0700,Hà Nội,198,10.3 km/h,43%
2025-03-25 14:01:48.731587+0700,Hà Nội,202,10.8 km/h,39%
2025-03-25 15:01:51.868618+0700,Hà Nội,199,10.8 km/h,39%
2025-03-25 16:01:41.982926+0700,Hà Nội,200,15.8 km/h,34%
